Ticker and DTW Values Below 50
"MMM: MMM (0.0), FE (39.123743000000005), MO (39.59057899999998), CPB (45.47594800000001), DD (46.144327), IP (49.03760599999984), C (49.56037100000007), MTB (49.89352700000007)"
"AOS: AOS (0.0), SBUX (33.40436399999995), CFG (35.00726900000004), CINF (35.057090000000066), YUM (37.52912200000007), LKQ (37.57817500000002), EXC (38.17828800000001), BKNG (38.33886900000003), PFE (38.654831000000016), ZION (39.85286800000001), AIZ (40.493805000000144)"
"ABT: ABT (0.0), SBAC (23.394091), J (23.54088199999997), WM (24.15424599999998), ITW (24.37966499999996), IEX (24.61565800000001), UNP (24.715922), STE (24.906606999999912), NSC (25.02214900000001), APH (25.101817999999987), AME (26.161816000000048)"
"ABBV: ABBV (0.0), RJF (25.582646999999977), HD (27.369948999999973), AZO (28.42360799999997), EXR (28.53379299999999), ADI (30.270979999999955), APH (30.99310600000002), ROK (31.196841000000006), HCA (31.75949400000001), MLM (32.48167100000005), ORCL (32.79581999999998)"
"ACN: ACN (0.0), NDAQ (15.149450000000002), EL (15.736022999999983), GOOGL (16.166474999999974), PLD (16.321623000000013), A (16.588053999999982), DHR (16.742391999999978), GOOG (16.758684000000013), COST (16.996154), TMO (17.24991400000002), UNH (17.743169000000023)"
"ADBE: ADBE (0.0), INTU (22.816566000000005), IDXX (23.050392), LULU (23.21241599999995), NOW (24.187403000000003), WST (24.23180500000002), MSFT (24.332614999999976), MSCI (24.367563000000004), POOL (24.58581100000001), KEYS (26.925508000000026), TER (27.19669899999997)"
"AMD: AMD (0.0), TSLA (29.37150199999996), ENPH (35.57431299999998), GNRC (41.08648799999992), PAYC (43.23341199999998), NVDA (45.38625200000004), FTNT (46.40473400000003), MSCI (47.18565599999998), MPWR (48.10686399999987), KLAC (49.81360800000006), EPAM (49.893765000000045)"
"AES: AES (0.0), AME (26.13289399999997), HLT (26.68765099999999), AXP (27.96904499999999), WAT (28.08062000000001), ITW (30.007446999999985), CMI (31.36107799999992), ADP (32.090275000000034), EXPD (32.86062600000005), SYK (32.89194399999994), AON (32.97803299999996)"
"AFL: AFL (0.0), WRB (24.97550900000001), TJX (27.584929999999957), ADP (28.03612000000001), HUM (29.601371000000025), PAYX (30.79488500000004), HSY (31.803807000000003), APH (32.114361), CVX (33.11423899999994), DRI (33.416982999999995), MMC (34.71929400000004)"
"A: A (0.0), ACN (16.588053999999982), PLD (18.28660799999999), MTD (18.73693700000004), NDAQ (19.005713000000007), GRMN (19.912474000000003), TMO (20.548687000000008), DHR (20.853841000000006), GOOGL (21.480246000000005), SPGI (21.71423499999993), GOOG (22.237602999999957)"
"APD: APD (0.0), ARE (27.23872999999997), CCI (27.765728999999983), YUM (28.73202899999996), WMT (28.967967000000005), ICE (30.00006999999999), HON (30.436877000000024), ROP (31.06577799999996), XEL (31.24974500000001), WEC (31.930937999999937), EXPD (32.51127599999994)"
"AKAM: AKAM (0.0), DVA (42.78112999999996), SEE (46.9908189999999)"
